330026,Sucre bûchettes 5g,13.47 €,17.32 €
500037,Coulis de fruits rouges,3.19 €,4.64 €
500030,Ananas fruit entier et son jus,2.95 €,4.07 €
500029,Litchis dénoyautés,3.26 €,4.50 €
500049,Miel de fleurs - Mexique,4.31 €,5.93 €
500053,Sirop poires pommes de Liège,4.80 €,6.60 €
800000,Quinoa d'Equateur,3.87 €,5.32 €
800001,Quinoa d'Equateur vrac 5 kg,35.99 €,49.49 €
500051,"Vanille de Madagascar, 1 gousse",3.14 €,4.31 €
500036,Poivre noir du Kerala,3.54 €,4.86 €
500048,Poivre vert du Kerala,3.00 €,4.12 €
500035,Curry en poudre,2.77 €,3.81 €
500032,3 baies ,3.54 €,4.86 €
500033,Cannelle en poudre,3.22 €,4.44 €
500034,Curcuma du Sri Lanka,2.21 €,3.04 €
500046,Huile vierge de coco,5.80 €,7.97 €
